iter	Passed	Remaining
0	145	145051
1	148	73926
2	150	50020
3	153	38130
4	155	31021
5	158	26180
6	159	22672
7	161	20046
8	163	18036
9	165	16415
10	167	15075
11	169	13955
12	171	13021
13	173	12218
14	175	11523
15	178	10962
16	180	10440
17	182	9974
18	184	9548
19	186	9148
20	188	8780
21	190	8452
22	192	8174
23	194	7890
24	195	7628
25	197	7388
26	198	7165
27	200	6959
28	202	6776
29	203	6593
30	206	6454
31	208	6295
32	209	6148
33	211	6006
34	212	5870
35	214	5743
36	216	5624
37	217	5504
38	218	5394
39	220	5297
40	222	5195
41	223	5092
42	224	4993
43	225	4901
44	226	4812
45	228	4729
46	229	4644
47	230	4563
48	231	4485
49	232	4415
50	233	4351
51	234	4281
52	235	4213
53	236	4146
54	237	4082
55	238	4021
56	239	3961
57	240	3903
58	241	3849
59	242	3795
60	243	3743
61	244	3692
62	245	3644
63	245	3595
64	246	3548
65	247	3505
66	248	3466
67	249	3422
68	250	3379
69	251	3336
70	251	3295
71	252	3255
72	253	3217
73	254	3180
74	254	3143
75	255	3107
76	256	3072
77	257	3038
78	257	3005
79	258	2973
80	259	2942
81	260	2912
82	260	2878
83	261	2849
84	262	2822
85	263	2801
86	264	2775
87	265	2748
88	265	2721
89	266	2696
90	267	2670
91	268	2646
92	268	2621
93	269	2597
94	270	2575
95	271	2552
96	271	2530
97	272	2508
98	273	2487
99	274	2469
100	275	2449
101	275	2429
102	276	2409
103	277	2393
104	278	2377
105	279	2360
106	280	2342
107	281	2324
108	282	2306
109	282	2289
110	283	2273
111	284	2256
112	285	2240
113	286	2223
114	286	2207
115	287	2191
116	288	2175
117	289	2160
118	289	2145
119	290	2130
120	291	2116
121	291	2101
122	293	2091
123	294	2078
124	294	2064
125	295	2050
126	296	2036
127	296	2023
128	297	2010
129	298	1997
130	299	1984
131	299	1972
132	300	1960
133	301	1948
134	302	1936
135	303	1925
136	303	1914
137	304	1903
138	305	1892
139	306	1881
140	307	1872
141	308	1862
142	309	1853
143	310	1843
144	310	1832
145	311	1822
146	312	1812
147	313	1802
148	313	1792
149	314	1782
150	315	1772
151	316	1764
152	317	1755
153	317	1746
154	318	1737
155	319	1728
156	320	1719
157	321	1711
158	321	1702
159	322	1695
160	323	1686
161	324	1678
162	325	1670
163	326	1662
164	326	1653
165	327	1645
166	328	1637
167	329	1629
168	330	1622
169	330	1615
170	331	1607
171	332	1600
172	333	1592
173	333	1585
174	334	1577
175	335	1570
176	336	1563
177	336	1556
178	338	1551
179	339	1545
180	339	1538
181	340	1531
182	341	1524
183	342	1517
184	342	1510
185	343	1503
186	344	1497
187	345	1490
188	345	1484
189	346	1477
190	347	1471
191	348	1465
192	348	1459
193	349	1453
194	350	1446
195	351	1441
196	352	1435
197	353	1431
198	354	1425
199	355	1420
200	355	1414
201	356	1408
202	357	1402
203	358	1397
204	358	1391
205	359	1385
206	360	1380
207	361	1374
208	361	1369
209	362	1363
210	363	1358
211	364	1353
212	364	1347
213	365	1342
214	366	1337
215	367	1332
216	368	1330
217	369	1325
218	370	1320
219	371	1315
220	372	1311
221	373	1307
222	373	1302
223	374	1297
224	375	1293
225	376	1288
226	377	1284
227	377	1279
228	378	1275
229	379	1271
230	380	1268
231	381	1263
232	382	1259
233	384	1259
234	385	1255
235	386	1251
236	387	1247
237	388	1242
238	388	1238
239	389	1234
240	390	1229
241	391	1225
242	391	1221
243	392	1216
244	393	1212
245	394	1208
246	394	1204
247	395	1199
248	396	1195
249	397	1191
250	398	1187
251	399	1185
252	400	1181
253	401	1177
254	401	1173
255	402	1169
256	403	1165
257	404	1162
258	404	1158
259	405	1154
260	406	1150
261	406	1146
262	407	1142
263	408	1138
264	409	1134
265	409	1130
266	410	1127
267	411	1123
268	412	1120
269	413	1118
270	414	1115
271	415	1112
272	416	1108
273	417	1105
274	417	1101
275	418	1097
276	419	1094
277	419	1090
278	420	1087
279	421	1084
280	422	1080
281	423	1077
282	423	1074
283	424	1070
284	425	1067
285	426	1064
286	427	1061
287	428	1059
288	430	1059
289	431	1056
290	432	1053
291	433	1050
292	433	1046
293	434	1043
294	435	1040
295	436	1038
296	438	1036
297	438	1033
298	439	1030
299	440	1027
300	441	1024
301	441	1021
302	442	1018
303	443	1015
304	444	1012
305	445	1010
306	446	1007
307	446	1004
308	447	1001
309	448	998
310	449	995
311	450	992
312	451	989
313	451	987
314	452	984
315	453	981
316	454	978
317	455	976
318	456	974
319	457	971
320	458	968
321	459	967
322	460	964
323	461	962
324	462	959
325	462	957
326	463	954
327	464	951
328	465	948
329	465	945
330	467	944
331	468	942
332	469	939
333	469	937
334	470	934
335	471	931
336	472	929
337	472	926
338	474	925
339	476	924
340	477	921
341	477	919
342	478	917
343	479	914
344	480	912
345	481	910
346	485	912
347	485	910
348	487	909
349	488	907
350	490	907
351	492	906
352	493	904
353	494	903
354	495	900
355	496	898
356	497	896
357	499	895
358	500	893
359	501	890
360	502	888
361	503	887
362	504	885
363	505	883
364	506	881
365	507	879
366	508	877
367	510	875
368	511	873
369	512	872
370	513	870
371	514	868
372	515	866
373	516	863
374	517	861
375	518	861
376	520	859
377	522	859
378	523	857
379	523	854
380	524	852
381	525	850
382	526	848
383	527	846
384	528	844
385	529	842
386	531	841
387	532	839
388	533	838
389	535	836
390	537	836
391	538	834
392	538	832
393	539	830
394	540	827
395	542	827
396	543	825
397	544	824
398	546	822
399	547	821
400	548	819
401	550	819
402	552	818
403	553	816
404	554	814
405	556	814
406	557	811
407	558	809
408	558	807
409	559	805
410	560	803
411	561	801
412	562	799
413	563	797
414	564	796
415	566	795
416	568	794
417	568	792
418	569	790
419	570	787
420	571	785
421	572	783
422	573	781
423	573	779
424	575	778
425	575	776
426	576	773
427	578	773
428	580	772
429	581	771
430	582	769
431	584	767
432	584	765
433	585	763
434	586	762
435	587	760
436	588	758
437	589	756
438	590	753
439	590	752
440	591	749
441	592	747
442	593	746
443	594	744
444	595	742
445	596	741
446	598	739
447	599	738
448	600	736
449	600	734
450	601	732
451	602	730
452	603	729
453	604	727
454	605	725
455	607	724
456	608	722
457	609	721
458	610	719
459	612	718
460	613	716
461	613	715
462	614	713
463	615	711
464	616	709
465	618	708
466	618	706
467	619	704
468	620	702
469	621	700
470	623	700
471	624	698
472	625	697
473	626	695
474	628	694
475	628	692
476	629	690
477	630	688
478	631	686
479	632	685
480	633	683
481	635	682
482	636	680
483	637	679
484	638	678
485	639	676
486	641	675
487	642	674
488	643	672
489	644	670
490	645	669
491	646	667
492	646	665
493	647	663
494	649	662
495	650	660
496	650	658
497	651	656
498	652	655
499	653	653
500	654	651
501	655	650
502	656	648
503	657	647
504	658	645
505	659	644
506	660	642
507	664	643
508	665	641
509	666	640
510	667	638
511	668	637
512	669	635
513	670	633
514	671	632
515	673	631
516	673	629
517	674	627
518	675	626
519	676	624
520	677	622
521	677	620
522	678	618
523	679	617
524	680	615
525	681	613
526	681	611
527	682	610
528	683	608
529	685	607
530	686	605
531	687	604
532	687	602
533	688	600
534	689	599
535	690	597
536	691	596
537	692	594
538	692	592
539	693	590
540	694	589
541	695	587
542	696	585
543	696	584
544	697	582
545	699	581
546	700	579
547	701	578
548	702	576
549	703	575
550	704	573
551	704	572
552	705	570
553	706	568
554	707	567
555	708	565
556	708	563
557	709	562
558	710	560
559	711	558
560	712	557
561	712	555
562	713	554
563	714	552
564	715	551
565	716	549
566	717	548
567	718	546
568	719	545
569	720	543
570	721	541
571	721	540
572	722	538
573	723	536
574	724	535
575	725	533
576	725	532
577	726	530
578	727	528
579	728	527
580	729	526
581	730	524
582	731	523
583	732	521
584	733	520
585	734	518
586	735	517
587	736	515
588	736	514
589	737	512
590	738	511
591	739	509
592	740	507
593	740	506
594	741	504
595	742	503
596	743	501
597	744	500
598	745	499
599	747	498
600	748	496
601	749	495
602	749	493
603	750	492
604	751	490
605	752	489
606	753	487
607	754	486
608	755	484
609	756	483
610	756	481
611	757	480
612	758	479
613	760	477
614	761	476
615	762	475
616	763	473
617	764	472
618	765	471
619	766	469
620	767	468
621	767	466
622	768	465
623	769	463
624	770	462
625	771	460
626	772	459
627	773	458
628	774	456
629	775	455
630	776	454
631	777	452
632	778	451
633	779	449
634	780	448
635	781	447
636	781	445
637	782	444
638	783	442
639	784	441
640	785	439
641	785	438
642	786	436
643	787	435
644	788	434
645	790	432
646	791	431
647	792	430
648	793	429
649	794	428
650	795	426
651	796	425
652	797	423
653	797	422
654	798	420
655	799	419
656	800	417
657	801	416
658	802	415
659	803	413
660	804	412
661	805	411
662	806	410
663	807	408
664	808	407
665	809	405
666	810	404
667	810	403
668	811	401
669	812	400
670	813	398
671	813	397
672	814	395
673	815	394
674	816	393
675	817	391
676	818	390
677	819	389
678	820	388
679	821	386
680	822	385
681	823	383
682	823	382
683	824	380
684	825	379
685	826	378
686	826	376
687	827	375
688	828	373
689	829	372
690	830	371
691	830	369
692	831	368
693	832	367
694	833	365
695	834	364
696	835	363
697	836	361
698	837	360
699	837	359
700	838	357
701	839	356
702	840	354
703	840	353
704	841	352
705	842	350
706	843	349
707	844	348
708	845	346
709	846	345
710	846	344
711	847	342
712	848	341
713	850	340
714	851	339
715	852	338
716	853	336
717	853	335
718	854	334
719	855	332
720	856	331
721	857	330
722	857	328
723	858	327
724	859	325
725	860	324
726	860	323
727	861	321
728	862	320
729	863	319
730	864	318
731	865	316
732	866	315
733	867	314
734	867	312
735	868	311
736	869	310
737	870	308
738	871	307
739	872	306
740	875	305
741	875	304
742	876	303
743	877	301
744	878	300
745	879	299
746	880	298
747	881	297
748	882	295
749	883	294
750	883	293
751	884	291
752	885	290
753	886	289
754	887	287
755	887	286
756	888	285
757	889	283
758	890	282
759	890	281
760	891	280
761	892	278
762	893	277
763	894	276
764	895	275
765	896	273
766	897	272
767	898	271
768	898	270
769	899	268
770	900	267
771	901	266
772	902	264
773	902	263
774	903	262
775	904	261
776	905	259
777	906	258
778	906	257
779	907	256
780	908	254
781	910	253
782	910	252
783	911	251
784	912	249
785	913	248
786	914	247
787	915	246
788	916	244
789	916	243
790	917	242
791	918	241
792	919	239
793	919	238
794	920	237
795	921	236
796	922	234
797	922	233
798	923	232
799	925	231
800	926	230
801	926	228
802	927	227
803	928	226
804	929	225
805	929	223
806	930	222
807	931	221
808	932	220
809	933	218
810	933	217
811	934	216
812	935	215
813	936	213
814	936	212
815	937	211
816	938	210
817	939	209
818	940	207
819	941	206
820	942	205
821	943	204
822	943	202
823	945	201
824	946	200
825	948	199
